Date : 2021-09-15 01:36:55
Directory : d:\iTechArtFinalProject
Total : 88 files,  27193 codes, 30 comments, 181 blanks, all 27404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\iTechArtFinalProject\src\app\components\mainPage\cookBook\cookBook.scss                          | SCSS             |         33 |          0 |          0 |         33 |
| d:\iTechArtFinalProject\src\app\components\mainPage\mainPage.jsx                                    | JavaScript React |         21 |          0 |          2 |         23 |
| d:\iTechArtFinalProject\src\app\components\mainPage\mainSection\mainSection.jsx                     | JavaScript React |         14 |          0 |          2 |         16 |
| d:\iTechArtFinalProject\src\app\components\mainPage\mainSection\mainSection.scss                    | SCSS             |          7 |          0 |          0 |          7 |
| d:\iTechArtFinalProject\src\app\components\mainPage\pickedArticles\pickedArticles.jsx               | JavaScript React |         30 |          0 |          2 |         32 |
| d:\iTechArtFinalProject\src\app\components\mainPage\pickedArticles\pickedArticles.scss              | SCSS             |         42 |          0 |          1 |         43 |
| d:\iTechArtFinalProject\src\app\components\mainPage\popularCookBooks\popularCookBooks.jsx           | JavaScript React |         11 |          0 |          3 |         14 |
| d:\iTechArtFinalProject\src\app\components\mainPage\popularCookBooks\popularCookbook.scss           | SCSS             |          6 |          0 |          0 |          6 |
| d:\iTechArtFinalProject\src\app\components\mainPage\trendingRecepies\trandingRecepies.jsx           | JavaScript React |         11 |          0 |          2 |         13 |
| d:\iTechArtFinalProject\src\app\components\mainPage\trendingRecepies\trandingRecepies.scss          | SCSS             |          7 |          0 |          0 |          7 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileActions\profileActions.jsx    | JavaScript React |         33 |          0 |          4 |         37 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileActions\profileActions.scss   | SCSS             |         45 |          0 |          0 |         45 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileDescr\profileDescription.jsx  | JavaScript React |         18 |          0 |          4 |         22 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileDescr\profileDescription.scss | SCSS             |         27 |          0 |          0 |         27 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileInfo.jsx                      | JavaScript React |         16 |         13 |          2 |         31 |
| d:\iTechArtFinalProject\src\app\components\profile\profileInfo\profileInfo.scss                     | SCSS             |         16 |          0 |          0 |         16 |
| d:\iTechArtFinalProject\src\app\components\profile\profileMenu\profileMenu.jsx                      | JavaScript React |         55 |          0 |          3 |         58 |
| d:\iTechArtFinalProject\src\app\components\profile\profileMenu\profilemenu.scss                     | SCSS             |         26 |          0 |          0 |         26 |
| d:\iTechArtFinalProject\src\app\components\profile\profilePage.jsx                                  | JavaScript React |         10 |          0 |          2 |         12 |
| d:\iTechArtFinalProject\src\app\components\profile\profilePage.scss                                 | SCSS             |          9 |          0 |          1 |         10 |
| d:\iTechArtFinalProject\src\app\components\recepies\recepieFull.jsx                                 | JavaScript React |         32 |         12 |          4 |         48 |
| d:\iTechArtFinalProject\src\app\components\recepies\recepieShort\recepieShort.jsx                   | JavaScript React |         40 |          0 |          2 |         42 |
| d:\iTechArtFinalProject\src\app\components\recepies\recepieShort\recepieShort.scss                  | SCSS             |         45 |          0 |          0 |         45 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipeCreation\recipeCreation.jsx               | JavaScript React |        181 |          3 |          3 |        187 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipeCreation\recipeCreation.scss              | SCSS             |        134 |          0 |          0 |        134 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipeLikeBtn\recipeLikeBtn.jsx                 | JavaScript React |         32 |          2 |          3 |         37 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipeLikeBtn\recipeLikeBtn.scss                | SCSS             |         21 |          0 |          0 |         21 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipeLikeBtn\recipeLikeBtnForUnlogged.jsx      | JavaScript React |         22 |          0 |          2 |         24 |
| d:\iTechArtFinalProject\src\app\components\recepies\recipes.scss                                    | SCSS             |          3 |          0 |          0 |          3 |
| d:\iTechArtFinalProject\src\app\components\search\cooksBookSearch\cookBookSearch.jsx                | JavaScript React |         11 |          0 |          2 |         13 |
| d:\iTechArtFinalProject\src\app\components\search\cooksBookSearch\cookBookSearch.scss               | SCSS             |          6 |          0 |          0 |          6 |
| d:\iTechArtFinalProject\src\app\components\search\recepiesSearch\recepiesSearch.jsx                 | JavaScript React |         11 |          0 |          2 |         13 |
| d:\iTechArtFinalProject\src\app\components\search\recepiesSearch\recepiesSearch.scss                | SCSS             |          6 |          0 |          0 |          6 |
| d:\iTechArtFinalProject\src\app\components\search\searchSection.jsx                                 | JavaScript React |         18 |          0 |          2 |         20 |
| d:\iTechArtFinalProject\src\app\components\search\searchSection.scss                                | SCSS             |         38 |          0 |          2 |         40 |
| d:\iTechArtFinalProject\src\app\redux\booksSlice\booksSlice.js                                      | JavaScript       |         27 |          0 |          3 |         30 |
| d:\iTechArtFinalProject\src\app\redux\recepiesSlice\recepiesSlice.js                                | JavaScript       |         36 |          0 |          3 |         39 |
| d:\iTechArtFinalProject\src\app\redux\reduxSaga\booksSaga\booksSaga.js                              | JavaScript       |         10 |          0 |          3 |         13 |
| d:\iTechArtFinalProject\src\app\redux\reduxSaga\recepiesSaga\recepiesSaga.js                        | JavaScript       |         34 |          0 |          4 |         38 |
| d:\iTechArtFinalProject\src\app\redux\reduxSaga\sagas.js                                            | JavaScript       |          7 |          0 |          2 |          9 |
| d:\iTechArtFinalProject\src\app\redux\reduxSaga\usersSaga\userSaga.js                               | JavaScript       |         37 |          0 |          6 |         43 |
| d:\iTechArtFinalProject\src\app\redux\store.js                                                      | JavaScript       |         17 |          0 |          5 |         22 |
| d:\iTechArtFinalProject\src\app\redux\userSlice\userSlice.js                                        | JavaScript       |         27 |          0 |          3 |         30 |
| d:\iTechArtFinalProject\src\app\services\getBooksData.js                                            | JavaScript       |          8 |          0 |          1 |          9 |
| d:\iTechArtFinalProject\src\app\services\recepies\addLikeToRecepie.js                               | JavaScript       |         14 |          0 |          1 |         15 |
| d:\iTechArtFinalProject\src\app\services\recepies\getRecepiesData.js                                | JavaScript       |          8 |          0 |          0 |          8 |
| d:\iTechArtFinalProject\src\app\services\recepies\postNewRecepie.js                                 | JavaScript       |         15 |          0 |          2 |         17 |
| d:\iTechArtFinalProject\src\app\services\recepies\recepieViewed.js                                  | JavaScript       |         14 |          0 |          0 |         14 |
| d:\iTechArtFinalProject\src\app\services\recepies\removeLikeFromRecepie.js                          | JavaScript       |         14 |          0 |          0 |         14 |
| d:\iTechArtFinalProject\src\app\services\users\addLikedRecipe.js                                    | JavaScript       |         14 |          0 |          0 |         14 |
| d:\iTechArtFinalProject\src\app\services\users\removeLikedRecipe.js                                 | JavaScript       |         14 |          0 |          0 |         14 |
| d:\iTechArtFinalProject\src\app\services\users\usersFetch.js                                        | JavaScript       |         50 |          0 |          5 |         55 |
| d:\iTechArtFinalProject\src\app\validations\recipesValidation.js                                    | JavaScript       |          6 |          0 |          3 |          9 |
| d:\iTechArtFinalProject\src\app\validations\userAuthValidation.js                                   | JavaScript       |         31 |          0 |          5 |         36 |
| d:\iTechArtFinalProject\src\index.html                                                              | HTML             |         15 |          0 |          3 |         18 |
| d:\iTechArtFinalProject\src\index.jsx                                                               | JavaScript React |         12 |          0 |          2 |         14 |
| d:\iTechArtFinalProject\src\styles\common\commonStyles.scss                                         | SCSS             |          8 |          0 |          0 |          8 |
| d:\iTechArtFinalProject\src\styles\reset.scss                                                       | SCSS             |        133 |          0 |         10 |        143 |
| d:\iTechArtFinalProject\src\styles\style.scss                                                       | SCSS             |         29 |          0 |          1 |         30 |
| d:\iTechArtFinalProject\src\styles\vars\colors.scss                                                 | SCSS             |         13 |          0 |          0 |         13 |
| d:\iTechArtFinalProject\src\styles\vars\mixins.scss                                                 | SCSS             |         32 |          0 |          2 |         34 |
| d:\iTechArtFinalProject\src\styles\vars\vars.scss                                                   | SCSS             |          0 |          0 |          1 |          1 |
| d:\iTechArtFinalProject\webpack.config.js                                                           | JavaScript       |          7 |          0 |          2 |          9 |
| d:\iTechArtFinalProject\webpack.dev.js                                                              | JavaScript       |         49 |          0 |          1 |         50 |
| d:\iTechArtFinalProject\webpack.prod.js                                                             | JavaScript       |         53 |          0 |          1 |         54 |
| Total                                                                                               |                  |     27,193 |         30 |        181 |     27,404 |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
